# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb  4 04:22:30 2022
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1000.01,50365310,FP,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,-5.9640000,-0.0760000,2459229.6300460,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.6040000,485.7350000,10249.0000000,4.1900000,2.1698600,2019-07-24 15:58:33,2021-10-29 12:59:15
1001.01,88863718,PC,08h10m19.31s,122.5804650,-05d30m49.87s,-5.5138520,-4.9560000,-15.5550000,2459250.0645490,1.9316710,3.1800000,1030.0000000,10.3168000,42432.8000000,3998.0000000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000,2019-07-24 15:58:33,2021-10-29 12:59:15
1002.01,124709665,FP,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,-1.4620000,-2.2490000,2459202.2778700,1.8675878,2.2118642,1657.1471093,36.4328722,20641.4457009,3057.0657359,9.2995010,943.1090000,8924.0000000,,5.7325500,2019-07-24 15:58:33,2021-10-29 12:59:15
1003.01,106997505,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,-0.9390000,1.6400000,2458493.3957000,2.7432300,3.1670000,383.4100000,,1177.3600000,1631.0000000,9.3003000,7728.1700000,5388.5000000,4.1500000,,2019-07-24 15:58:33,2021-10-29 12:59:15
1004.01,238597883,FP,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,-4.4960000,9.3470000,2459229.5490320,3.5775748,2.9347085,501.6028767,5.0501110,8092.9691359,2419.0604472,9.1355000,356.4370000,9219.0000000,4.1400000,2.1504000,2019-07-24 15:58:33,2021-10-29 12:59:15
1005.01,169904935,FP,08h02m49.15s,120.7048110,-11d06m05.48s,-11.1015210,-26.9320000,-2.9010000,2458492.5552000,4.5507200,2.5990000,3620.0000000,6.5444900,254.0500000,1112.0000000,9.1309000,100.7110000,5613.0000000,,1.0900000,2019-07-24 15:58:33,2021-10-29 12:59:15
1006.01,156115721,FP,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,-29.1000000,-6.8000000,2459229.9845790,2.5047918,4.3797563,2270.5402194,8.6950898,1750.9326350,1649.8220699,9.2386000,,6616.0000000,,1.5342900,2019-07-24 15:58:33,2021-10-29 12:59:15
1007.01,65212867,PC,07h31m00.57s,112.7523930,-04d27m48.09s,-4.4633590,0.3570000,3.3990000,2459247.9306950,6.9989206,3.9530000,2840.0000000,14.7752000,448.7440000,1282.0000000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000,2019-07-24 15:58:33,2021-10-29 12:59:15
1008.01,440801822,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,-17.9000000,1.3000000,2458492.5213500,2.0493600,2.2340000,249.5000000,1.7160700,2107.0500000,1887.0000000,8.9362000,144.2970000,6858.5000000,4.2000000,0.9900000,2019-07-24 15:58:33,2021-10-29 12:59:15
1009.01,107782586,PC,07h26m40.28s,111.6678450,-24d27m43.6s,-24.4621110,-3.2970000,4.8490000,2459252.7513570,1.9600296,1.8420000,2100.0000000,,26538.5000000,3555.0000000,8.4331000,866.1470000,8868.7000000,,,2019-07-24 15:58:33,2021-10-29 12:59:15
